id,usuario_id,restaurante_id,fecha,hora,invitados,estado,menu_id,pedido_id
51,2088,138,2025-06-01,19:44:36,7,ACTIVE,283,27241
52,3468,194,2025-06-01,19:45:01,6,ACTIVE,40,13627
53,6773,170,2025-06-01,19:56:32,2,ACTIVE,451,27920
54,7531,161,2025-06-01,19:47:12,7,CANCELLED,796,1466
55,6758,182,2025-06-01,19:43:19,1,ACTIVE,324,27188
56,7983,112,2025-06-01,19:52:15,7,ACTIVE,43,21647
57,703,66,2025-06-01,19:51:46,3,CANCELLED,718,7328
58,2611,155,2025-06-01,19:54:33,3,CANCELLED,343,7849
59,5182,199,2025-06-01,19:56:28,3,CANCELLED,282,17527
60,2984,37,2025-06-01,19:52:24,5,ACTIVE,745,11502
61,7939,170,2025-06-01,19:57:33,3,CANCELLED,167,3422
62,888,146,2025-06-01,19:58:44,4,ACTIVE,192,18826
63,1651,7,2025-06-01,19:59:59,6,CANCELLED,274,18147
64,5558,24,2025-06-01,20:00:27,7,ACTIVE,457,22551
65,2319,186,2025-06-01,19:54:39,8,CANCELLED,599,24609
66,4037,35,2025-06-01,19:57:53,8,ACTIVE,331,12411
67,196,97,2025-06-01,19:46:33,7,ACTIVE,190,4999
68,6263,93,2025-06-01,19:49:27,6,CANCELLED,117,23724
69,1467,2,2025-06-01,19:59:07,1,CANCELLED,115,29781
70,6104,136,2025-06-01,19:51:45,3,ACTIVE,57,16872
71,3972,131,2025-06-01,19:48:39,7,CANCELLED,721,20015
72,6392,60,2025-06-01,19:52:09,3,CANCELLED,383,22816
73,3873,103,2025-06-01,19:47:34,5,ACTIVE,62,7697
74,4694,160,2025-06-01,19:45:28,7,CANCELLED,760,24128
75,6004,20,2025-06-01,19:53:11,7,ACTIVE,337,2923
76,7198,56,2025-06-01,19:51:39,3,ACTIVE,109,10713
77,6816,132,2025-06-01,19:59:28,1,ACTIVE,466,23257
78,3203,58,2025-06-01,19:51:55,2,CANCELLED,546,13811
79,6665,71,2025-06-01,19:50:13,2,CANCELLED,649,29342
80,5842,51,2025-06-01,19:58:35,8,CANCELLED,601,3909
81,5469,186,2025-06-01,19:51:10,1,ACTIVE,504,15665
82,2835,19,2025-06-01,19:58:29,7,CANCELLED,397,2843
83,5046,177,2025-06-01,19:52:26,4,ACTIVE,547,23655
84,5279,102,2025-06-01,19:49:55,4,CANCELLED,497,15145
85,419,19,2025-06-01,19:54:53,5,CANCELLED,335,7369
86,1175,87,2025-06-01,19:56:27,8,ACTIVE,79,27144
87,4746,77,2025-06-01,19:51:39,5,CANCELLED,527,26419
88,2954,195,2025-06-01,20:00:59,8,ACTIVE,738,20736
89,1723,107,2025-06-01,19:59:57,2,ACTIVE,547,18490
90,248,129,2025-06-01,19:53:32,8,CANCELLED,265,17027
91,2004,129,2025-06-01,19:56:58,8,ACTIVE,625,258
92,3640,119,2025-06-01,19:44:17,3,ACTIVE,296,15202
93,6485,41,2025-06-01,19:53:49,8,ACTIVE,4,22984
94,3558,156,2025-06-01,19:53:36,1,ACTIVE,657,7311
95,7626,185,2025-06-01,19:58:55,8,ACTIVE,156,14691
96,2768,43,2025-06-01,19:51:11,2,CANCELLED,432,29599
97,3536,158,2025-06-01,19:58:44,4,ACTIVE,263,20831
98,1734,73,2025-06-01,19:46:06,4,CANCELLED,131,28318
99,6109,40,2025-06-01,19:58:38,7,ACTIVE,347,13717
100,6143,155,2025-06-01,20:00:35,5,ACTIVE,281,10728
101,4369,155,2025-06-01,19:48:59,5,CANCELLED,453,20935
102,6006,172,2025-06-01,19:57:15,6,CANCELLED,49,18319
103,5659,50,2025-06-01,19:57:33,6,CANCELLED,471,16401
104,4812,194,2025-06-01,19:58:59,2,CANCELLED,197,16978
105,4298,172,2025-06-01,19:45:57,1,ACTIVE,466,6116
106,2457,26,2025-06-01,20:00:58,7,CANCELLED,227,12379
107,4958,115,2025-06-01,19:46:59,4,CANCELLED,361,23730
108,1058,141,2025-06-01,19:59:22,3,ACTIVE,14,19560
109,2240,167,2025-06-01,19:46:09,5,ACTIVE,627,8876
110,3074,137,2025-06-01,19:46:43,8,CANCELLED,375,9649
111,7034,169,2025-06-01,19:45:55,6,ACTIVE,38,18976
112,3549,123,2025-06-01,19:55:09,4,CANCELLED,523,17037
113,5823,125,2025-06-01,19:49:56,1,CANCELLED,32,1022
114,383,51,2025-06-01,19:50:51,8,ACTIVE,690,12049
115,6833,197,2025-06-01,19:59:49,8,ACTIVE,16,10353
116,3217,37,2025-06-01,19:58:32,4,ACTIVE,298,13572
117,4752,159,2025-06-01,19:59:38,3,ACTIVE,726,20135
118,124,38,2025-06-01,19:55:13,8,ACTIVE,555,24905
119,5460,87,2025-06-01,19:44:33,1,ACTIVE,596,18045
120,1415,163,2025-06-01,19:54:27,3,CANCELLED,196,27184
121,5103,159,2025-06-01,19:46:31,5,ACTIVE,465,25366
122,3820,139,2025-06-01,19:59:34,6,ACTIVE,313,12170
123,5849,145,2025-06-01,19:54:08,6,ACTIVE,471,14902
124,883,43,2025-06-01,19:58:55,7,ACTIVE,265,17076
125,3690,196,2025-06-01,19:57:36,8,ACTIVE,374,24324
126,3828,68,2025-06-01,19:48:44,4,ACTIVE,404,3835
127,5340,152,2025-06-01,19:56:59,4,CANCELLED,479,12099
128,5077,70,2025-06-01,19:59:09,7,CANCELLED,303,16031
129,2956,162,2025-06-01,20:00:32,2,ACTIVE,570,3351
130,1969,136,2025-06-01,19:49:11,7,ACTIVE,750,28570
131,1482,151,2025-06-01,19:50:08,1,ACTIVE,435,7912
132,2148,7,2025-06-01,19:46:46,7,ACTIVE,393,10736
133,4126,156,2025-06-01,19:48:08,7,ACTIVE,334,15220
134,3672,58,2025-06-01,19:57:47,2,ACTIVE,611,14129
135,3892,23,2025-06-01,19:49:31,1,CANCELLED,32,415
136,1523,12,2025-06-01,19:52:27,8,ACTIVE,717,11931
137,4507,183,2025-06-01,19:57:24,3,ACTIVE,183,21777
138,565,131,2025-06-01,19:47:05,1,ACTIVE,470,17993
139,3515,52,2025-06-01,19:48:38,8,ACTIVE,87,14022
140,6514,99,2025-06-01,20:01:06,3,CANCELLED,89,1833
141,1017,165,2025-06-01,19:59:55,8,CANCELLED,75,26420
142,4175,37,2025-06-01,19:54:43,1,ACTIVE,52,25975
143,7248,81,2025-06-01,19:44:20,7,ACTIVE,325,8586
144,2663,76,2025-06-01,19:46:50,6,CANCELLED,231,10544
145,5455,184,2025-06-01,19:57:30,7,CANCELLED,542,10653
146,4437,65,2025-06-01,19:43:56,1,ACTIVE,525,27080
147,5802,176,2025-06-01,19:56:20,1,CANCELLED,9,8183
148,2768,138,2025-06-01,19:49:57,4,ACTIVE,267,24603
149,3189,178,2025-06-01,19:49:39,3,ACTIVE,128,5780
150,5757,113,2025-06-01,19:47:39,1,CANCELLED,636,14119
151,7699,93,2025-06-01,19:52:50,1,CANCELLED,597,17387
152,4155,2,2025-06-01,20:00:46,2,CANCELLED,355,8193
153,5736,35,2025-06-01,19:59:09,3,ACTIVE,544,18938
154,1181,119,2025-06-01,19:51:48,4,CANCELLED,605,19792
155,7787,79,2025-06-01,19:58:04,8,CANCELLED,67,19794
156,6936,78,2025-06-01,19:47:10,6,CANCELLED,631,26840
157,1858,72,2025-06-01,19:45:30,4,ACTIVE,392,11403
158,5248,184,2025-06-01,19:47:45,3,ACTIVE,221,22102
159,694,152,2025-06-01,19:45:00,7,ACTIVE,411,5118
160,6684,35,2025-06-01,20:00:23,8,ACTIVE,151,28839
161,3584,84,2025-06-01,19:52:20,2,CANCELLED,486,9729
162,3420,90,2025-06-01,19:44:27,5,ACTIVE,54,23904
163,1880,109,2025-06-01,19:48:20,2,ACTIVE,606,8976
164,5711,168,2025-06-01,19:58:18,4,CANCELLED,211,26723
165,5618,74,2025-06-01,19:47:45,3,CANCELLED,640,29954
166,5079,115,2025-06-01,19:44:42,3,ACTIVE,731,25339
167,3669,143,2025-06-01,19:52:17,7,ACTIVE,609,1465
168,638,2,2025-06-01,20:00:23,8,CANCELLED,311,18516
169,6790,179,2025-06-01,19:54:48,8,ACTIVE,314,29104
170,3002,193,2025-06-01,19:59:09,2,ACTIVE,610,29657
171,6268,182,2025-06-01,19:54:36,8,CANCELLED,206,18049
172,1754,162,2025-06-01,19:45:34,8,ACTIVE,130,4556
173,896,8,2025-06-01,19:48:17,2,ACTIVE,769,16057
174,7731,28,2025-06-01,19:43:27,8,ACTIVE,194,11559
175,2154,143,2025-06-01,19:50:50,1,ACTIVE,684,8268
176,6607,196,2025-06-01,19:47:58,6,CANCELLED,678,22451
177,5342,140,2025-06-01,19:46:00,4,CANCELLED,493,1107
178,7161,106,2025-06-01,19:51:13,4,CANCELLED,320,5588
179,3030,178,2025-06-01,19:52:01,4,ACTIVE,681,7601
180,3414,124,2025-06-01,19:58:36,1,ACTIVE,260,360
181,7813,163,2025-06-01,19:49:15,8,CANCELLED,609,20483
182,4861,64,2025-06-01,19:57:55,2,ACTIVE,169,81
183,5965,47,2025-06-01,19:47:00,2,ACTIVE,599,3318
184,6894,162,2025-06-01,19:54:02,7,CANCELLED,185,12878
185,4927,85,2025-06-01,19:59:53,8,CANCELLED,708,21910
186,3021,97,2025-06-01,19:46:30,8,ACTIVE,251,11252
187,3126,38,2025-06-01,19:59:11,1,CANCELLED,567,7217
188,5012,61,2025-06-01,19:48:22,6,ACTIVE,324,23977
189,5944,185,2025-06-01,19:59:44,6,ACTIVE,129,4525
190,2976,105,2025-06-01,19:55:10,5,ACTIVE,349,29266
191,7225,43,2025-06-01,19:54:03,4,ACTIVE,683,9238
192,4716,181,2025-06-01,20:00:29,4,CANCELLED,68,20817
193,3239,124,2025-06-01,19:43:36,2,CANCELLED,554,12204
194,2002,104,2025-06-01,19:48:30,1,ACTIVE,483,16571
195,3275,4,2025-06-01,19:50:01,4,CANCELLED,490,3099
196,2045,79,2025-06-01,19:49:44,4,CANCELLED,731,3816
197,7741,12,2025-06-01,19:54:36,2,CANCELLED,354,18034
198,4653,68,2025-06-01,19:55:39,2,CANCELLED,293,13125
199,3368,197,2025-06-01,20:01:06,8,ACTIVE,720,27694
200,5812,52,2025-06-01,19:48:56,8,CANCELLED,342,13512
201,6016,122,2025-06-01,19:55:53,3,CANCELLED,739,23885
202,6739,101,2025-06-01,19:47:52,7,ACTIVE,650,3944
203,6037,61,2025-06-01,19:47:01,3,ACTIVE,319,24999
204,2418,141,2025-06-01,19:56:12,3,ACTIVE,379,10936
205,4194,103,2025-06-01,19:54:33,4,CANCELLED,713,8953
206,3661,51,2025-06-01,20:00:06,6,CANCELLED,117,28134
207,4570,168,2025-06-01,19:53:19,8,ACTIVE,173,5910
208,4981,86,2025-06-01,19:45:54,5,ACTIVE,770,22437
209,3540,172,2025-06-01,19:49:03,5,CANCELLED,52,4878
210,4694,161,2025-06-01,19:50:25,2,CANCELLED,421,7562
211,6368,100,2025-06-01,19:45:21,4,CANCELLED,171,19792
212,3321,134,2025-06-01,19:51:57,1,CANCELLED,590,10780
213,7746,25,2025-06-01,19:47:45,1,ACTIVE,31,6501
214,1844,183,2025-06-01,19:59:59,6,CANCELLED,238,14256
215,3686,105,2025-06-01,19:51:34,1,CANCELLED,220,5192
216,7873,50,2025-06-01,19:58:05,1,ACTIVE,341,3560
217,1066,110,2025-06-01,19:48:30,8,CANCELLED,653,13499
218,4458,127,2025-06-01,19:47:10,5,ACTIVE,284,29984
219,4193,161,2025-06-01,19:47:45,8,ACTIVE,394,8775
220,3914,74,2025-06-01,19:46:35,3,ACTIVE,507,13683
221,5763,91,2025-06-01,19:48:42,7,CANCELLED,316,381
222,5309,27,2025-06-01,19:49:36,1,CANCELLED,192,19602
223,5036,116,2025-06-01,19:48:55,4,CANCELLED,291,3505
224,1331,119,2025-06-01,19:46:18,1,ACTIVE,122,25766
225,1009,98,2025-06-01,19:43:34,3,ACTIVE,427,20805
226,3546,171,2025-06-01,19:57:14,8,ACTIVE,330,29798
227,5259,98,2025-06-01,19:47:52,3,CANCELLED,76,19276
228,3649,63,2025-06-01,19:55:07,5,CANCELLED,62,11359
229,4853,163,2025-06-01,19:52:45,5,CANCELLED,695,28549
230,6306,61,2025-06-01,19:52:42,6,ACTIVE,573,10792
231,3261,50,2025-06-01,19:55:06,6,ACTIVE,368,26612
232,625,67,2025-06-01,19:43:59,2,ACTIVE,155,12946
233,4451,153,2025-06-01,19:53:09,7,CANCELLED,730,24036
234,3099,26,2025-06-01,19:46:22,7,CANCELLED,670,6148
235,2518,19,2025-06-01,19:54:38,3,CANCELLED,340,15809
236,5039,2,2025-06-01,19:53:45,3,ACTIVE,368,16209
237,1214,183,2025-06-01,19:55:54,5,CANCELLED,793,13552
238,4346,98,2025-06-01,19:46:32,1,ACTIVE,189,16097
239,3657,77,2025-06-01,19:51:20,8,CANCELLED,784,18406
240,5385,126,2025-06-01,19:51:47,4,ACTIVE,679,23304
241,757,117,2025-06-01,19:48:18,4,CANCELLED,783,16536
242,5063,152,2025-06-01,19:47:08,1,ACTIVE,111,12983
243,3723,39,2025-06-01,20:00:25,1,ACTIVE,502,15344
244,2914,115,2025-06-01,19:52:54,7,CANCELLED,206,25487
245,4191,158,2025-06-01,20:00:18,4,CANCELLED,375,4142
246,1085,38,2025-06-01,19:53:19,1,CANCELLED,765,17927
247,222,27,2025-06-01,19:47:56,4,ACTIVE,454,20136
248,6235,198,2025-06-01,19:50:54,2,ACTIVE,631,17886
249,398,155,2025-06-01,19:55:18,7,CANCELLED,557,15101
250,2048,65,2025-06-01,19:59:50,1,CANCELLED,674,26477
251,3418,90,2025-06-01,19:56:57,4,ACTIVE,154,26269
252,3607,167,2025-06-01,19:51:35,6,ACTIVE,627,24972
253,2660,77,2025-06-01,19:48:37,3,CANCELLED,275,26092
254,3739,173,2025-06-01,19:53:53,7,ACTIVE,94,29107
255,721,39,2025-06-01,19:57:20,6,CANCELLED,787,19507
256,213,22,2025-06-01,19:52:12,5,ACTIVE,518,13323
257,2406,191,2025-06-01,19:58:39,4,ACTIVE,648,8812
258,3918,81,2025-06-01,19:55:42,6,ACTIVE,42,3521
259,6987,92,2025-06-01,19:58:00,6,ACTIVE,590,22813
260,5541,48,2025-06-01,20:00:21,1,CANCELLED,799,26675
261,7525,33,2025-06-01,19:59:20,7,CANCELLED,455,23692
262,4242,193,2025-06-01,19:52:54,5,ACTIVE,403,23882
263,2088,181,2025-06-01,19:44:36,7,ACTIVE,2,8700
264,6912,62,2025-06-01,19:51:56,5,CANCELLED,329,22057
265,6367,165,2025-06-01,19:55:41,5,CANCELLED,322,9582
266,7992,105,2025-06-01,19:52:24,2,ACTIVE,551,17330
267,3442,109,2025-06-01,19:47:34,4,ACTIVE,271,11773
268,1249,6,2025-06-01,19:48:57,5,CANCELLED,695,18225
269,4617,167,2025-06-01,19:53:09,5,ACTIVE,573,9749
270,3054,12,2025-06-01,19:59:42,3,CANCELLED,50,26585
271,7739,165,2025-06-01,20:00:11,1,CANCELLED,575,28468
272,117,55,2025-06-01,19:45:22,8,ACTIVE,526,904
273,5845,112,2025-06-01,19:54:14,8,CANCELLED,229,13688
274,6099,8,2025-06-01,19:48:18,7,ACTIVE,459,24088
275,675,85,2025-06-01,19:54:04,3,ACTIVE,14,23716
276,5218,150,2025-06-01,19:51:27,4,ACTIVE,589,16955
277,6854,65,2025-06-01,19:55:21,1,ACTIVE,220,16793
278,7044,78,2025-06-01,19:43:57,1,CANCELLED,372,10875
279,5635,174,2025-06-01,19:46:30,2,ACTIVE,324,15779
280,3702,187,2025-06-01,19:49:09,1,CANCELLED,266,28013
281,322,122,2025-06-01,20:01:00,6,ACTIVE,3,29905
282,2566,96,2025-06-01,19:50:34,1,CANCELLED,532,28903
283,7489,65,2025-06-01,19:47:48,3,ACTIVE,206,25327
284,1761,141,2025-06-01,19:48:48,7,ACTIVE,423,25
285,7109,73,2025-06-01,19:58:31,4,CANCELLED,404,23099
286,1210,83,2025-06-01,19:54:56,6,ACTIVE,556,13289
287,1349,37,2025-06-01,19:48:55,5,CANCELLED,499,29897
288,3660,1,2025-06-01,19:51:16,6,CANCELLED,322,12020
289,889,13,2025-06-01,19:48:28,4,CANCELLED,217,26892
290,2075,118,2025-06-01,19:54:19,1,ACTIVE,445,27862
291,7987,53,2025-06-01,19:56:39,4,CANCELLED,359,11368
292,1592,151,2025-06-01,19:55:09,4,ACTIVE,608,22369
293,3413,190,2025-06-01,19:49:03,7,CANCELLED,414,18453
294,3051,9,2025-06-01,19:58:37,4,ACTIVE,84,28346
295,3903,49,2025-06-01,20:01:05,6,CANCELLED,764,23612
296,6261,45,2025-06-01,19:58:14,2,ACTIVE,735,27550
297,2903,105,2025-06-01,19:54:16,3,ACTIVE,460,25610
298,2586,107,2025-06-01,19:51:47,5,ACTIVE,43,3967
299,1420,49,2025-06-01,19:56:20,8,ACTIVE,403,29813
300,2283,33,2025-06-01,19:45:22,6,CANCELLED,677,20429
301,4759,27,2025-06-01,19:49:06,7,CANCELLED,644,378
302,7260,58,2025-06-01,19:56:18,4,ACTIVE,690,8066
303,6638,44,2025-06-01,19:49:47,3,ACTIVE,318,4054
304,3963,81,2025-06-01,19:53:04,8,ACTIVE,259,3667
305,7788,40,2025-06-01,19:56:10,3,CANCELLED,383,28309
306,1310,129,2025-06-01,19:56:15,3,ACTIVE,155,22781
307,3117,196,2025-06-01,19:48:27,2,ACTIVE,708,6159
308,5411,38,2025-06-01,19:56:49,6,CANCELLED,556,6992
309,5991,74,2025-06-01,19:49:50,2,CANCELLED,142,29739
310,1491,91,2025-06-01,19:57:25,4,ACTIVE,269,12676
311,5663,49,2025-06-01,19:59:27,8,ACTIVE,150,3038
312,1738,119,2025-06-01,19:59:29,7,CANCELLED,531,9445
313,6234,190,2025-06-01,19:52:43,7,ACTIVE,450,13776
314,6652,39,2025-06-01,19:57:40,2,CANCELLED,248,23742
315,6044,32,2025-06-01,19:59:21,8,CANCELLED,657,21240
316,2504,54,2025-06-01,20:00:45,4,CANCELLED,212,15037
317,200,73,2025-06-01,19:55:06,2,CANCELLED,363,11873
318,3938,138,2025-06-01,19:56:17,3,CANCELLED,325,17449
319,2510,179,2025-06-01,19:53:56,3,CANCELLED,726,7239
320,410,193,2025-06-01,19:49:30,3,CANCELLED,95,17853
321,7978,193,2025-06-01,19:53:00,1,CANCELLED,679,1204
322,4917,154,2025-06-01,19:44:33,8,ACTIVE,340,26810
323,402,85,2025-06-01,19:52:39,7,CANCELLED,273,7670
324,1372,38,2025-06-01,19:54:50,3,ACTIVE,332,22452
325,7311,162,2025-06-01,19:51:36,5,ACTIVE,632,71
326,6986,15,2025-06-01,20:00:00,6,ACTIVE,446,18095
327,4928,69,2025-06-01,19:47:13,2,ACTIVE,500,585
328,5202,53,2025-06-01,19:48:57,7,ACTIVE,265,22361
329,4858,131,2025-06-01,19:55:37,5,ACTIVE,721,18651
330,3955,66,2025-06-01,19:59:08,8,CANCELLED,9,24731
331,4515,51,2025-06-01,19:51:14,7,CANCELLED,38,28702
332,1215,82,2025-06-01,19:58:33,1,CANCELLED,270,12309
333,4949,56,2025-06-01,19:45:55,8,ACTIVE,657,26180
334,1835,14,2025-06-01,19:53:34,4,ACTIVE,656,17825
335,4416,161,2025-06-01,19:55:54,4,ACTIVE,712,17063
336,6798,167,2025-06-01,19:47:05,5,ACTIVE,778,3911
337,3517,7,2025-06-01,19:49:48,7,CANCELLED,753,4906
338,1813,4,2025-06-01,19:45:56,5,ACTIVE,761,26118
339,1203,37,2025-06-01,19:45:05,2,ACTIVE,167,19841
340,4478,89,2025-06-01,19:56:34,8,ACTIVE,259,4861
341,5314,200,2025-06-01,19:45:42,8,ACTIVE,47,19557
342,4337,30,2025-06-01,20:00:18,6,ACTIVE,787,18121
343,4039,135,2025-06-01,19:50:11,1,CANCELLED,724,7137
344,1145,174,2025-06-01,19:52:50,5,ACTIVE,437,6845
345,4260,63,2025-06-01,19:53:34,3,ACTIVE,591,2253
346,2751,47,2025-06-01,19:48:42,1,CANCELLED,146,4405
347,3563,37,2025-06-01,19:47:43,4,ACTIVE,369,14367
348,2300,170,2025-06-01,19:58:02,1,CANCELLED,223,9467
349,853,149,2025-06-01,19:58:07,3,CANCELLED,382,18109
350,592,82,2025-06-01,19:57:26,8,ACTIVE,98,23013
351,2338,164,2025-06-01,19:49:42,8,CANCELLED,563,8564
352,2949,53,2025-06-01,19:55:58,5,CANCELLED,320,11832
353,7463,159,2025-06-01,19:50:11,7,ACTIVE,529,2365
354,6805,106,2025-06-01,19:59:46,2,CANCELLED,413,26733
355,1053,145,2025-06-01,19:48:49,4,ACTIVE,105,15615
356,7775,144,2025-06-01,19:56:41,8,ACTIVE,627,11409
357,2743,77,2025-06-01,19:52:52,3,CANCELLED,338,2405
358,504,200,2025-06-01,20:00:59,4,CANCELLED,181,308
359,585,19,2025-06-01,20:01:04,5,ACTIVE,490,9797
360,6524,104,2025-06-01,20:00:03,6,CANCELLED,714,24965
361,2688,1,2025-06-01,19:45:54,3,CANCELLED,544,7608
362,4585,163,2025-06-01,19:51:18,5,ACTIVE,682,6127
363,4294,99,2025-06-01,19:54:35,5,CANCELLED,354,23312
364,7175,20,2025-06-01,19:50:17,6,CANCELLED,353,5650
365,2013,139,2025-06-01,19:44:37,1,CANCELLED,748,26514
366,7880,126,2025-06-01,19:58:45,1,CANCELLED,80,4775
367,2814,72,2025-06-01,19:46:19,4,CANCELLED,378,19484
368,6360,51,2025-06-01,19:48:07,1,ACTIVE,88,24188
369,894,51,2025-06-01,19:53:16,6,CANCELLED,97,22869
370,6156,124,2025-06-01,19:55:39,1,CANCELLED,4,22636
371,730,65,2025-06-01,19:58:19,6,CANCELLED,40,28072
372,5628,118,2025-06-01,19:49:27,3,ACTIVE,345,20474
373,4712,17,2025-06-01,19:59:14,7,CANCELLED,704,12072
374,1918,195,2025-06-01,20:00:01,4,CANCELLED,450,10831
375,5582,17,2025-06-01,19:49:55,2,ACTIVE,465,25684
376,3900,186,2025-06-01,19:51:07,7,CANCELLED,489,240
377,5716,137,2025-06-01,19:49:11,4,CANCELLED,301,28987
378,1997,26,2025-06-01,19:46:44,8,ACTIVE,476,21125
379,5834,115,2025-06-01,19:54:44,4,ACTIVE,724,13860
380,1286,19,2025-06-01,19:50:25,7,CANCELLED,302,8878
381,6365,131,2025-06-01,20:00:32,1,ACTIVE,549,9168
382,7966,149,2025-06-01,19:45:07,4,CANCELLED,367,20911
383,4293,174,2025-06-01,19:57:12,3,ACTIVE,541,4211
384,83,157,2025-06-01,19:48:17,5,CANCELLED,462,13732
385,6411,15,2025-06-01,19:45:21,4,CANCELLED,746,15114
386,249,41,2025-06-01,19:57:06,4,CANCELLED,509,12376
387,2851,144,2025-06-01,19:43:18,3,CANCELLED,730,28284
388,2143,154,2025-06-01,19:46:30,5,ACTIVE,327,20536
389,2155,156,2025-06-01,19:47:53,1,ACTIVE,302,1033
390,3131,55,2025-06-01,19:57:55,1,ACTIVE,779,1195
391,6303,14,2025-06-01,19:48:26,6,ACTIVE,478,22533
392,3414,142,2025-06-01,19:56:43,4,ACTIVE,491,20808
393,5573,114,2025-06-01,19:55:56,3,ACTIVE,220,16847
394,2726,66,2025-06-01,19:46:38,6,CANCELLED,778,11649
395,7515,140,2025-06-01,19:57:47,7,CANCELLED,295,3450
396,3254,99,2025-06-01,19:48:00,6,ACTIVE,202,11079
397,6482,134,2025-06-01,19:45:32,5,CANCELLED,664,11864
398,7388,138,2025-06-01,19:53:50,1,ACTIVE,408,27633
399,2239,131,2025-06-01,19:45:41,1,ACTIVE,183,23807
400,5629,126,2025-06-01,19:53:44,4,CANCELLED,61,6625
401,1019,164,2025-06-01,20:01:10,8,CANCELLED,481,24387
402,7554,182,2025-06-01,19:52:15,7,CANCELLED,586,4991
403,652,148,2025-06-01,19:52:05,2,CANCELLED,510,13949
404,7011,194,2025-06-01,19:43:56,1,ACTIVE,32,13199
405,946,61,2025-06-01,19:51:53,8,ACTIVE,144,3677
406,7077,114,2025-06-01,19:54:26,1,ACTIVE,598,29953
407,3661,74,2025-06-01,19:52:52,5,ACTIVE,186,23167
408,2289,173,2025-06-01,19:47:08,8,CANCELLED,261,4894
409,4725,91,2025-06-01,19:57:03,8,CANCELLED,571,8820
410,743,179,2025-06-01,19:46:10,5,CANCELLED,751,862
411,3626,199,2025-06-01,19:52:45,3,ACTIVE,640,9945
